"name","birth_year","email","affiliations","bio"
"Jung-Min ""Jerry"" Park",1950,"jung-min_""jerry""_park@mail.com","Technical University of Munich"," Aliquam pellentesque lacus vitae orci placerat, nec facilisis turpis porta"
"Kaigui Bian",1999,"kaigui_bian@mail.com","Politecnico di Torino"," Phasellus eu turpis laoreet, accumsan felis et, dignissim purus"
"Hideki Imai",1977,"hideki_imai@mail.com","The University of Edinburgh"," Duis molestie nulla a mi vehicula, malesuada tempus est laoreet"
"Atsuhiro Yamagishi",1993,"atsuhiro_yamagishi@mail.com","ETH Zurich"," Morbi facilisis molestie pellentesque"
"Frédéric Cuppens",1955,"frédéric_cuppens@mail.com","Politecnico di Torino"," Morbi id blandit dui, et lobortis velit"
"Nora Cuppens-Boulahia",1956,"nora_cuppens-boulahia@mail.com","Technical University of Munich"," Duis eu lobortis ipsum"
"Benoît Libert",1995,"benoît_libert@mail.com","Politecnico di Torino"," Proin sit amet diam vel libero blandit varius nec vel leo"
"Guohong Cao",1996,"guohong_cao@mail.com","Technical University of Munich"," Nam vitae purus nunc"
"Zhichao Zhu",1998,"zhichao_zhu@mail.com","MIT"," Aliquam erat volutpat"
"Jeffrey Hoffstein",1950,"jeffrey_hoffstein@mail.com","The University of Edinburgh"," Proin aliquam nulla quam, interdum iaculis risus sagittis et"
"Stuart Haber",1980,"stuart_haber@mail.com","Politecnico di Milano","  Praesent in aliquam nisl"
"Henri Massias",1956,"henri_massias@mail.com","ETH Zurich"," Praesent feugiat est mollis, vehicula lorem eget, mattis leo"
"Pascal Paillier",1968,"pascal_paillier@mail.com","ETH Zurich"," Etiam fringilla scelerisque elit"
"David Challener",1957,"david_challener@mail.com","The University of Edinburgh"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Praesent congue augue quis libero elementum pharetra"
"Kerstin Lemke",1996,"kerstin_lemke@mail.com","The University of Edinburgh","  Cras viverra est vel lacinia elementum"
"Ming Li 0003",1966,"ming_li_0003@mail.com","Politecnico di Milano"," Quisque tincidunt, dolor rutrum sagittis vulputate, quam lorem blandit odio, et rhoncus nunc lorem quis dolor"
"Evangelia Micheli-Tzanakou",1970,"evangelia_micheli-tzanakou@mail.com","Politecnico di Torino","  Fusce a quam fringilla, aliquet tellus eget, fermentum arcu"
"Konstantinos N. Plataniotis",1954,"konstantinos_n._plataniotis@mail.com","Politecnico di Torino"," Vestibulum sit amet hendrerit ex"
"Vivek Kanhangad",1996,"vivek_kanhangad@mail.com","Politecnico di Torino"," Sed malesuada vestibulum ipsum eu vulputate"
"Gregor Leander",1972,"gregor_leander@mail.com","The University of Edinburgh"," Lorem ipsum dolor sit amet, consectetur adipiscing elit"
"Eli Biham",1954,"eli_biham@mail.com","ETH Zurich"," Aliquam sit amet urna sem"
"Edward Sciore",1980,"edward_sciore@mail.com","Politecnico di Torino"," Vestibulum faucibus magna leo, non molestie turpis tincidunt quis"
"Alessandro Orso",1957,"alessandro_orso@mail.com","MIT"," Suspendisse convallis mattis nulla et sodales"
"Benny Pinkas",1966,"benny_pinkas@mail.com","MIT"," Nam malesuada ligula id lorem scelerisque, vel rutrum lectus malesuada"
"Goce Jakimoski",1984,"goce_jakimoski@mail.com","The University of Edinburgh"," Mauris nec posuere orci"
"Ali Bagherzandi",1968,"ali_bagherzandi@mail.com","Technical University of Munich"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Bryan D. Payne",1971,"bryan_d._payne@mail.com","The University of Edinburgh"," Nam velit odio, tempor at sapien sollicitudin, pharetra tempus urna"
"Thomas Eisenbarth 0001",1977,"thomas_eisenbarth_0001@mail.com","The University of Edinburgh"," In magna orci, elementum at magna vitae, mattis venenatis erat"
"Timo Kasper",1978,"timo_kasper@mail.com","Politecnico di Milano"," Maecenas odio felis, lacinia eget ornare sit amet, vestibulum ut erat"
"Panos Papadimitratos",1978,"panos_papadimitratos@mail.com","Politecnico di Torino"," Donec aliquam massa sed congue luctus"
"Jean-Pierre Hubaux",1964,"jean-pierre_hubaux@mail.com","Politecnico di Torino","  Mauris sem erat, ultrices a facilisis ut, finibus posuere lacus"
"Russell Housley",1994,"russell_housley@mail.com","Technical University of Munich"," Etiam velit ipsum, tincidunt et massa eget, facilisis facilisis erat"
"Brecht Wyseur",1998,"brecht_wyseur@mail.com","Politecnico di Milano","  Interdum et malesuada fames ac ante ipsum primis in faucibus"
"Alexander W. Dent",1982,"alexander_w._dent@mail.com","University of Illinois at Chicago"," Sed posuere odio nec arcu aliquam auctor"
"Scott D. Stoller",1982,"scott_d._stoller@mail.com","Technical University of Munich"," In hac habitasse platea dictumst"
"Aaron Estes",1976,"aaron_estes@mail.com","Politecnico di Torino"," In quis fringilla justo"
"Alan D. Smith",1954,"alan_d._smith@mail.com","Politecnico di Milano"," Donec at placerat metus"
"David A. McGrew",1978,"david_a._mcgrew@mail.com","University of Illinois at Chicago"," Donec dictum, tellus vestibulum luctus fringilla, orci leo eleifend eros, eget placerat dui dolor id tortor"
"Martin Evison",1992,"martin_evison@mail.com","Technical University of Munich"," Sed pellentesque elementum lacus, ut mollis velit tincidunt sagittis"
"John Ioannidis",1990,"john_ioannidis@mail.com","Politecnico di Milano"," Vestibulum et ipsum et diam tincidunt semper vel semper nisl"
"Engin Kirda",1978,"engin_kirda@mail.com","ETH Zurich"," Integer maximus tortor ut lectus lobortis tincidunt"
"Stelvio Cimato",1984,"stelvio_cimato@mail.com","The University of Edinburgh"," Nulla facilisi"
"Roberto Sassi",1999,"roberto_sassi@mail.com","Technical University of Munich"," Quisque tincidunt velit a metus faucibus, sed pulvinar arcu dignissim"
"Ninghui Li",1990,"ninghui_li@mail.com","The University of Edinburgh"," Mauris viverra elementum nisi, quis placerat quam suscipit molestie"
"Joan Daemen",1999,"joan_daemen@mail.com","ETH Zurich"," Aliquam a tortor urna"
"Laurent Bussard",1967,"laurent_bussard@mail.com","University of Illinois at Chicago"," Donec vel ex velit"
"David Brumley",1969,"david_brumley@mail.com","Technical University of Munich"," Sed blandit tortor non neque condimentum faucibus"
"Luc Bouganim",1978,"luc_bouganim@mail.com","The University of Edinburgh"," Proin facilisis lacus felis, gravida faucibus velit rutrum non"
"Yanli Guo",1991,"yanli_guo@mail.com","Politecnico di Milano"," Duis eleifend elit lacus, a rhoncus dui mattis quis"
"Joachim Biskup",1992,"joachim_biskup@mail.com","The University of Edinburgh"," Cras tristique fermentum augue, eget suscipit ligula maximus sed"
"Mayank Varia",1977,"mayank_varia@mail.com","Politecnico di Torino"," Praesent sodales euismod finibus"
"William E. Winkler",1976,"william_e._winkler@mail.com","ETH Zurich"," Aenean mollis suscipit metus eget rutrum"
"Gildas Avoine",1964,"gildas_avoine@mail.com","Politecnico di Torino"," Curabitur aliquam aliquam efficitur"
"Mark Stephens",1985,"mark_stephens@mail.com","Politecnico di Milano","  Cras et convallis dolor, id tincidunt elit"
"David Elliott Bell",1969,"david_elliott_bell@mail.com","ETH Zurich"," Donec non turpis mattis massa facilisis bibendum"
"Fernando L. Podio",1991,"fernando_l._podio@mail.com","The University of Edinburgh"," Nulla eget velit luctus, elementum sapien quis, vestibulum ligula"
"Johannes Gehrke",1975,"johannes_gehrke@mail.com","Politecnico di Torino"," Fusce ut mi ante"
"Ashwin Machanavajjhala",1963,"ashwin_machanavajjhala@mail.com","ETH Zurich"," In in ante non neque vehicula suscipit id nec mauris"
"Sachiko Yoshihama",1955,"sachiko_yoshihama@mail.com","Politecnico di Torino"," Donec ac faucibus nulla, sit amet lobortis magna"
"Xiaowei Yang 0001",1961,"xiaowei_yang_0001@mail.com","Technical University of Munich"," Vivamus nec neque ut justo efficitur hendrerit in tincidunt ante"
"Aggelos Kiayias",1997,"aggelos_kiayias@mail.com","Politecnico di Milano"," Mauris a sem dolor"
"Bülent Yener",1963,"bülent_yener@mail.com","ETH Zurich"," Etiam a fringilla purus, quis gravida urna"
"Marion Videau",1986,"marion_videau@mail.com","Politecnico di Milano"," Maecenas a posuere felis"
"Suman Banerjee",1970,"suman_banerjee@mail.com","The University of Edinburgh"," Quisque odio augue, pretium vitae porta et, egestas quis erat"
"Vladimir Brik",1991,"vladimir_brik@mail.com","Technical University of Munich"," Curabitur ornare, tortor vel euismod dapibus, justo lectus ultrices elit, quis pulvinar libero urna non nisl"
"John Black",1989,"john_black@mail.com","Technical University of Munich"," Sed aliquam a ligula non aliquet"
"Philippe Gaborit",1964,"philippe_gaborit@mail.com","Politecnico di Torino"," Donec dignissim, orci ac laoreet vestibulum, turpis sapien lacinia nibh, vitae congue mi odio quis orci"
"Jelena Mirkovic",1985,"jelena_mirkovic@mail.com","Politecnico di Torino"," Pellentesque porttitor semper ex, vitae pretium purus varius et"
"Bruce Schneier",1953,"bruce_schneier@mail.com","Technical University of Munich"," Nam nec est in diam cursus varius"
"Mudhakar Srivatsa",1975,"mudhakar_srivatsa@mail.com","Politecnico di Milano"," Fusce laoreet quam magna, id lacinia neque venenatis sit amet"
"Arun Iyengar",1972,"arun_iyengar@mail.com","MIT"," Pellentesque cursus dui nisi, id efficitur orci tristique et"
"Hakki C. Cankaya",1974,"hakki_c._cankaya@mail.com","MIT"," Mauris et ipsum eu sapien gravida lobortis a non justo"
"Steven M. Bellovin",1991,"steven_m._bellovin@mail.com","University of Illinois at Chicago"," Sed arcu libero, tincidunt nec pharetra eu, pretium rhoncus ante"
"Piero A. Bonatti",1952,"piero_a._bonatti@mail.com","MIT","  Vestibulum non ultrices neque"
"Homayoon S. M. Beigi",1963,"homayoon_s._m._beigi@mail.com","MIT"," Donec vehicula velit varius nibh hendrerit gravida"
"George C. Necula",1996,"george_c._necula@mail.com","Politecnico di Milano"," Phasellus blandit risus vitae sapien ullamcorper mattis"
"Charu C. Aggarwal",1961,"charu_c._aggarwal@mail.com","University of Illinois at Chicago"," Duis molestie nulla a mi vehicula, malesuada tempus est laoreet"
"Nabil R. Adam",1954,"nabil_r._adam@mail.com","Politecnico di Torino"," Etiam mattis lacinia arcu, at dictum eros malesuada at"
"Haibing Lu",1988,"haibing_lu@mail.com","University of Illinois at Chicago"," Sed placerat ligula quis elementum congue"
"Jaideep Vaidya",1962,"jaideep_vaidya@mail.com","MIT"," Nam aliquam ligula vel sem pellentesque, ac ultricies sem vehicula"
"Basit Shafiq",1960,"basit_shafiq@mail.com","Politecnico di Milano"," Praesent aliquam, neque id dignissim dignissim, tortor ante posuere odio, a finibus ligula velit sed urna"
"Davide Martinenghi",1984,"davide_martinenghi@mail.com","The University of Edinburgh"," Pellentesque at venenatis tellus"
"Randy Sabett",1973,"randy_sabett@mail.com","Politecnico di Milano","  Pellentesque a fermentum ligula"
"Pierrick Gaudry",1969,"pierrick_gaudry@mail.com","The University of Edinburgh"," Quisque condimentum ullamcorper nisi non tempor"
"Radmilo Racic",1953,"radmilo_racic@mail.com","Technical University of Munich"," Duis vel elit pellentesque, ultrices urna nec, pulvinar felis"
"George Kesidis",1980,"george_kesidis@mail.com","MIT"," Etiam nec massa ut ante hendrerit sodales vitae et augue"
"Hugo Krawczyk",1991,"hugo_krawczyk@mail.com","The University of Edinburgh"," In hac habitasse platea dictumst"
"Antoine Joux",1994,"antoine_joux@mail.com","ETH Zurich"," Aliquam quis dignissim felis"
"Reynald Lercier",1988,"reynald_lercier@mail.com","ETH Zurich"," Morbi sit amet rhoncus nulla"
"Shambhu J. Upadhyaya",1953,"shambhu_j._upadhyaya@mail.com","Technical University of Munich"," Vestibulum id libero at elit pharetra mattis posuere et massa"
"Toni Farley",1974,"toni_farley@mail.com","Technical University of Munich"," Pellentesque vel odio semper, commodo ex id, venenatis ligula"
"Jill Joseph",1961,"jill_joseph@mail.com","MIT"," Morbi commodo felis at luctus lacinia"
"Stefan Katzenbeisser 0001",1978,"stefan_katzenbeisser_0001@mail.com","Technical University of Munich"," Nam velit odio, tempor at sapien sollicitudin, pharetra tempus urna"
"Johannes Kinder",1970,"johannes_kinder@mail.com","The University of Edinburgh"," Nunc sed congue dolor"
"Helmut Veith",2000,"helmut_veith@mail.com","University of Illinois at Chicago"," In hac habitasse platea dictumst"
"Amit Klein 0001",1996,"amit_klein_0001@mail.com","The University of Edinburgh"," Phasellus id lorem id metus blandit porttitor"
"Wesley M. Eddy",1959,"wesley_m._eddy@mail.com","University of Illinois at Chicago"," Suspendisse ut interdum risus, eget pretium tortor"
"Padmaraj M. V. Nair",1962,"padmaraj_m._v._nair@mail.com","ETH Zurich"," Morbi non elementum lectus, a tristique arcu"
"Micah Sherr",1955,"micah_sherr@mail.com","Technical University of Munich"," Etiam non dolor faucibus, facilisis tellus eu, rhoncus metus"
"Tyrone Grandison",1997,"tyrone_grandison@mail.com","Politecnico di Torino"," Pellentesque vehicula convallis feugiat"
"Carlo Blundo",1951,"carlo_blundo@mail.com","University of Illinois at Chicago"," Duis venenatis tortor blandit eros semper dignissim"
"Sudeep Sarkar",1986,"sudeep_sarkar@mail.com","Politecnico di Milano"," Nam sit amet laoreet felis, vitae sodales urna"
"Zongyi Liu",2000,"zongyi_liu@mail.com","Technical University of Munich"," Suspendisse non tortor et lacus suscipit pellentesque"
"Danny De Cock",1967,"danny_de_cock@mail.com","MIT"," Nunc turpis metus, cursus imperdiet felis vitae, congue pellentesque ligula"
"Michael Huth",1950,"michael_huth@mail.com","The University of Edinburgh"," Pellentesque sit amet lacus sit amet metus efficitur auctor"
"Alban Gabillon",1968,"alban_gabillon@mail.com","University of Illinois at Chicago"," Suspendisse sit amet tempor enim"
"Yu Chen",1962,"yu_chen@mail.com","Politecnico di Torino","  Pellentesque ac erat ut dui convallis sollicitudin a a justo"
"Jon Callas",1959,"jon_callas@mail.com","Politecnico di Torino"," Nullam tincidunt auctor sem euismod gravida"
"Daniel Nagy",1996,"daniel_nagy@mail.com","University of Illinois at Chicago"," Donec ac hendrerit quam, sit amet dictum justo"
"Akira Otsuka",1971,"akira_otsuka@mail.com","ETH Zurich"," Vivamus vitae lorem sit amet mi tempus rutrum"
"Heiko Mantel",1965,"heiko_mantel@mail.com","Technical University of Munich"," Vivamus varius volutpat tellus, a dignissim eros consequat a"
"Harold Mouchère",1967,"harold_mouchère@mail.com","Politecnico di Torino"," Suspendisse viverra tellus ultrices, placerat ante a, sollicitudin ex"
"Christian Viard-Gaudin",1974,"christian_viard-gaudin@mail.com","MIT"," Etiam nibh magna, tincidunt et odio fringilla, porttitor ultrices massa"
"Gautam Singaraju",1950,"gautam_singaraju@mail.com","Technical University of Munich"," Nunc imperdiet diam at dictum hendrerit"
"Pijush Samui",1970,"pijush_samui@mail.com","Politecnico di Torino"," Integer sit amet molestie velit"
"Yildirim Dalkiliç",1996,"yildirim_dalkiliç@mail.com","The University of Edinburgh"," Proin cursus tempus tempor"
"J. Jagan",1965,"j._jagan@mail.com","Politecnico di Milano"," Sed non nisi non lorem commodo congue"
"William B. Langdon",1973,"william_b._langdon@mail.com","Politecnico di Torino"," Integer sit amet molestie velit"
"António Leitão",2000,"antónio_leitão@mail.com","Technical University of Munich"," Mauris at cursus nibh, et accumsan libero"
"Penousal Machado",1963,"penousal_machado@mail.com","Politecnico di Torino","  Vivamus vitae justo ut tellus semper convallis"
"Renu Vyas",1968,"renu_vyas@mail.com","University of Illinois at Chicago"," Nunc sodales, metus sit amet posuere fringilla, urna mauris aliquet dolor, congue molestie arcu nunc vel leo"
"Purva Goel",1970,"purva_goel@mail.com","MIT"," Etiam id enim facilisis, sodales ligula non, feugiat turpis"
"Sanjeev S. Tambe",1952,"sanjeev_s._tambe@mail.com","The University of Edinburgh"," Sed efficitur elit erat, in varius turpis bibendum non"
"Ali Vahdat",1993,"ali_vahdat@mail.com","MIT"," Morbi consequat ultricies ipsum, rhoncus porta eros euismod ut"
"Jillian Morgan",1993,"jillian_morgan@mail.com","University of Illinois at Chicago"," Nam eu massa pharetra, tincidunt neque feugiat, gravida sapien"
"Andrew R. McIntyre",1986,"andrew_r._mcintyre@mail.com","Politecnico di Milano"," Etiam efficitur ultricies lectus sed rutrum"
"Malcolm I. Heywood",1991,"malcolm_i._heywood@mail.com","ETH Zurich"," Duis molestie nulla a mi vehicula, malesuada tempus est laoreet"
"A. Nur Zincir-Heywood",1984,"a._nur_zincir-heywood@mail.com","University of Illinois at Chicago"," Nam et turpis ut ligula congue dapibus"
"Stanislaw Deniziak",1992,"stanislaw_deniziak@mail.com","University of Illinois at Chicago","  Ut vitae fermentum tellus"
"Leszek Ciopinski",1951,"leszek_ciopinski@mail.com","University of Illinois at Chicago"," Proin eleifend consequat ex"
"Grzegorz Pawinski",1966,"grzegorz_pawinski@mail.com","University of Illinois at Chicago"," Suspendisse viverra tellus ultrices, placerat ante a, sollicitudin ex"
"Rajib Maity",1951,"rajib_maity@mail.com","Politecnico di Milano"," Proin a egestas libero"
"Kironmala Chanda",1981,"kironmala_chanda@mail.com","The University of Edinburgh"," Ut lobortis et nulla at eleifend"
"Mohamed A. Shahin",1986,"mohamed_a._shahin@mail.com","The University of Edinburgh"," Maecenas odio felis, lacinia eget ornare sit amet, vestibulum ut erat"
"Partha Pratim Roy 0002",1999,"partha_pratim_roy_0002@mail.com","ETH Zurich"," Praesent a ullamcorper nunc, pellentesque rutrum tortor"
"Supratim Ray",1957,"supratim_ray@mail.com","Politecnico di Milano"," Morbi nec vestibulum orci"
"Kunal Roy",1976,"kunal_roy@mail.com","Technical University of Munich"," Donec eget lorem dapibus, mollis risus eget, ultricies lacus"
"João Correia",1985,"joão_correia@mail.com","The University of Edinburgh"," In hac habitasse platea dictumst"
"Filipe Assunção",1961,"filipe_assunção@mail.com","University of Illinois at Chicago"," Nam ac placerat lectus, eget fermentum diam"
"José María Luna",1970,"josé_maría_luna@mail.com","Politecnico di Milano"," Nulla sit amet orci accumsan, tempus justo id, ultrices est"
"Alberto Cano 0001",1988,"alberto_cano_0001@mail.com","ETH Zurich"," Vivamus viverra dignissim orci, elementum cursus augue tempor vel"
"Sebastián Ventura",1968,"sebastián_ventura@mail.com","The University of Edinburgh"," Suspendisse tempor turpis et libero fermentum pellentesque"
"Elahe Fallah-Mehdipour",1954,"elahe_fallah-mehdipour@mail.com","MIT","  Pellentesque et ex et leo pretium porttitor et et eros"
"Omid Bozorg Haddad",1952,"omid_bozorg_haddad@mail.com","MIT"," Vestibulum et pulvinar leo"
"Saeed K. Babanajad",1993,"saeed_k._babanajad@mail.com","MIT"," Nulla a nulla pharetra, interdum ipsum vitae, pretium ex"
"A. Zahiri",1967,"a._zahiri@mail.com","Politecnico di Milano"," Suspendisse sollicitudin sem id aliquet congue"
"A. A. Dehghani",1976,"a._a._dehghani@mail.com","Politecnico di Milano"," Proin ultrices mauris ut blandit interdum"
"H. Md. Azamathulla",1950,"h._md._azamathulla@mail.com","Politecnico di Milano"," Maecenas leo purus, eleifend et massa at, mollis interdum purus"
"Mehdi Mousavi",1972,"mehdi_mousavi@mail.com","MIT"," Pellentesque erat magna, placerat nec nisi nec, bibendum lacinia magna"
"Alireza Azarbakht",1957,"alireza_azarbakht@mail.com","MIT","  Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"Sahar Rahpeyma",1970,"sahar_rahpeyma@mail.com","Technical University of Munich"," Sed euismod non purus non mollis"
"Ali Farhadi",1993,"ali_farhadi@mail.com","Politecnico di Milano"," In elementum vitae nisi non mattis"
"Mohammed S. Hussain",1997,"mohammed_s._hussain@mail.com","MIT"," Maecenas sapien nunc, rutrum eu velit et, ullamcorper hendrerit ipsum"
"Alireza Ahangar-Asr",1983,"alireza_ahangar-asr@mail.com","Politecnico di Torino"," Mauris rhoncus fermentum ipsum ac tincidunt"
"Youliang Chen",1957,"youliang_chen@mail.com","The University of Edinburgh"," In in massa cursus, laoreet elit vitae, tincidunt tellus"
"Akbar A. Javadi",1981,"akbar_a._javadi@mail.com","MIT"," Praesent sed vestibulum ante"
"Conor Ryan",1994,"conor_ryan@mail.com","Politecnico di Milano"," Etiam a fringilla purus, quis gravida urna"
"Jeannie Fitzgerald",1953,"jeannie_fitzgerald@mail.com","The University of Edinburgh"," Cras in sollicitudin sem, quis eleifend est"
"Krzysztof Krawiec",1952,"krzysztof_krawiec@mail.com","MIT"," Nunc sollicitudin fermentum sapien, quis euismod enim varius non"
"David Medernach",1956,"david_medernach@mail.com","MIT"," Nam id scelerisque eros"
"Michael F. Korns",1967,"michael_f._korns@mail.com","Politecnico di Milano"," Vivamus luctus cursus nibh, eu volutpat sapien sodales id"
"Hamed Koohpayehzadeh Esfahani",1960,"hamed_koohpayehzadeh_esfahani@mail.com","Technical University of Munich"," Proin vitae lacus quis tellus aliquet maximus in vel dui"
"Bithin Datta",1958,"bithin_datta@mail.com","Politecnico di Milano"," Ut lobortis imperdiet nunc ac faucibus"
"Dominic P. Searson",1957,"dominic_p._searson@mail.com","University of Illinois at Chicago"," Aenean condimentum ligula sed placerat tristique"
"José Carlos Bregieiro Ribeiro",1988,"josé_carlos_bregieiro_ribeiro@mail.com","The University of Edinburgh"," Vivamus luctus cursus nibh, eu volutpat sapien sodales id"
"Ana Filipa Nogueira",1986,"ana_filipa_nogueira@mail.com","MIT"," Nullam commodo nulla at dictum congue"
"Francisco Fernández de Vega",1966,"francisco_fernández_de_vega@mail.com","University of Illinois at Chicago"," In vel dolor in orci pharetra sollicitudin"
"Mário Alberto Zenha-Rela",1997,"mário_alberto_zenha-rela@mail.com","Politecnico di Torino"," Pellentesque quis odio volutpat, vehicula mauris eu, efficitur purus"
"Seyyed Soheil Sadat Hosseini",1956,"seyyed_soheil_sadat_hosseini@mail.com","Politecnico di Torino"," In ornare orci sed lectus auctor, vel rhoncus lectus finibus"
"Alireza Nemati",1976,"alireza_nemati@mail.com","University of Illinois at Chicago"," Nunc id nisi ipsum"
"Pradyut Kumar Muduli",1970,"pradyut_kumar_muduli@mail.com","The University of Edinburgh"," Pellentesque eget odio ipsum"
"Sarat Kumar Das",1967,"sarat_kumar_das@mail.com","Technical University of Munich"," Duis est urna, tempus at convallis ut, tincidunt non tortor"
"Andrew Sixsmith",1956,"andrew_sixsmith@mail.com","MIT"," Cras turpis diam, viverra quis odio id, auctor tempus nisi"
"Charalampos Doukas",1983,"charalampos_doukas@mail.com","Politecnico di Torino"," Etiam non dolor faucibus, facilisis tellus eu, rhoncus metus"
"Thomas Pliakas",1977,"thomas_pliakas@mail.com","University of Illinois at Chicago"," Integer a lorem eu purus faucibus fringilla ac vitae erat"
"Ilias Maglogiannis",1958,"ilias_maglogiannis@mail.com","University of Illinois at Chicago"," Nunc suscipit velit mauris, ac tempus enim egestas ac"
"Michael Huch",1976,"michael_huch@mail.com","MIT","  Ut consequat neque erat"
"José Javier Yanguas",1984,"josé_javier_yanguas@mail.com","University of Illinois at Chicago"," Donec tristique ac risus id auctor"
"Elena Urdaneta",1978,"elena_urdaneta@mail.com","Technical University of Munich"," Praesent quis nunc metus"
"Michael John",1965,"michael_john@mail.com","University of Illinois at Chicago"," Pellentesque rutrum id ante eu interdum"
"Stefan Klose",1959,"stefan_klose@mail.com","Technical University of Munich"," Nullam ac consequat nibh"
"Beate Seewald",1988,"beate_seewald@mail.com","ETH Zurich"," Donec vel ex velit"
"Tom Chau",1966,"tom_chau@mail.com","MIT"," Sed posuere odio nec arcu aliquam auctor"
"Negar Memarian",1977,"negar_memarian@mail.com","Technical University of Munich"," Nulla molestie diam quis nisi tempor tempor"
"Brian Leung",1988,"brian_leung@mail.com","ETH Zurich"," Nulla pretium, nibh quis porta scelerisque, diam lorem scelerisque metus, at fringilla justo diam non sem"
"Deborah Treherne",1990,"deborah_treherne@mail.com","ETH Zurich"," In eget rhoncus elit"
"David A. Hobbs",1981,"david_a._hobbs@mail.com","The University of Edinburgh"," Sed in pulvinar purus"
"Breanna Worthington-Eyre",1950,"breanna_worthington-eyre@mail.com","ETH Zurich"," Curabitur venenatis nisl eget nibh sagittis pretium"
"Andrea Lamont",1964,"andrea_lamont@mail.com","University of Illinois at Chicago"," Morbi sit amet rhoncus nulla"
"Michele Pla-Mobarak",1952,"michele_pla-mobarak@mail.com","University of Illinois at Chicago"," Duis accumsan augue lacus, ac finibus justo commodo eu"
"Ellen Yi-Luen Do",1968,"ellen_yi-luen_do@mail.com","ETH Zurich"," Mauris vel facilisis lorem, vitae tincidunt nunc"
"Brian D. Jones",1953,"brian_d._jones@mail.com","Technical University of Munich"," Duis eleifend elit lacus, a rhoncus dui mattis quis"
"Jean Roberts",1970,"jean_roberts@mail.com","ETH Zurich"," Sed in molestie ante"
"Amritpal Singh Bhachu",1983,"amritpal_singh_bhachu@mail.com","University of Illinois at Chicago"," Integer bibendum dapibus pharetra"
"Nicolas Hine",1974,"nicolas_hine@mail.com","Politecnico di Torino"," Nunc quis cursus nibh, nec eleifend sem"
"Ryan Woolrych",1953,"ryan_woolrych@mail.com","MIT"," Phasellus magna nulla, tincidunt eget ipsum sed, sodales molestie lacus"
"Reiner Wichert",1998,"reiner_wichert@mail.com","ETH Zurich"," Quisque vestibulum viverra scelerisque"
"Mohammad-Reza Tazari",1980,"mohammad-reza_tazari@mail.com","Politecnico di Torino"," Morbi at erat fermentum, fermentum nunc scelerisque, sollicitudin enim"
"Francesco Furfari",1998,"francesco_furfari@mail.com","MIT"," Integer quam massa, suscipit vitae blandit id, mollis in ipsum"
"Álvaro Fides-Valero",1978,"álvaro_fides-valero@mail.com","MIT"," Fusce et purus non sapien tempus volutpat"
"Sten Hanke",1971,"sten_hanke@mail.com","Politecnico di Torino"," Integer ornare bibendum libero sit amet viverra"
"Oliver Höftberger",1963,"oliver_höftberger@mail.com","MIT"," Integer mollis non risus ac egestas"
"Dionisis D. Kehagias",1985,"dionisis_d._kehagias@mail.com","Technical University of Munich"," Nullam sollicitudin dui a malesuada egestas"
"Miran Mosmondor",1952,"miran_mosmondor@mail.com","Technical University of Munich"," Praesent sit amet enim commodo lectus commodo pulvinar"
"Peter Wolf",1995,"peter_wolf@mail.com","Politecnico di Milano"," Praesent bibendum neque sed tellus dapibus semper"
"Elizabeth Mestheneos",1962,"elizabeth_mestheneos@mail.com","University of Illinois at Chicago"," Etiam maximus, nulla id pharetra porta, urna felis rhoncus augue, sit amet posuere elit arcu sit amet nulla"
"Juan Carlos Augusto",1980,"juan_carlos_augusto@mail.com","Politecnico di Milano"," Cras mattis massa eget neque venenatis semper at quis sem"
"Michael Obach",1951,"michael_obach@mail.com","Technical University of Munich"," Maecenas cursus est nec suscipit pellentesque"
"Pierre Barralon",1978,"pierre_barralon@mail.com","Technical University of Munich"," Quisque non sem nisl"
"Enrique León",1995,"enrique_león@mail.com","Politecnico di Torino"," Nullam non neque arcu"
"Leire Martínez",1965,"leire_martínez@mail.com","ETH Zurich"," Pellentesque quis odio volutpat, vehicula mauris eu, efficitur purus"
"Javier Arcas",1982,"javier_arcas@mail.com","Technical University of Munich"," Integer in arcu quis sem dignissim pulvinar nec eget diam"
"Igone Idígoras",1971,"igone_idígoras@mail.com","The University of Edinburgh"," Vestibulum faucibus luctus interdum"
"Alberto Martínez",1964,"alberto_martínez@mail.com","MIT"," Cras consectetur consequat dui"
"Arantxa Rentería",1990,"arantxa_rentería@mail.com","MIT"," Donec convallis erat ut lacus laoreet auctor"
"Carmen Pastor",2000,"carmen_pastor@mail.com","Politecnico di Milano","  Morbi egestas nisl sem, et pulvinar augue sollicitudin sed"
"Tony Gentry",1971,"tony_gentry@mail.com","The University of Edinburgh"," Maecenas lacinia, arcu sit amet mattis sodales, neque libero venenatis justo, non venenatis lorem magna quis lorem"
"Julie Maitland",1972,"julie_maitland@mail.com","Technical University of Munich"," Curabitur at elit quis ipsum efficitur rhoncus"
"George MacGinnis",1950,"george_macginnis@mail.com","The University of Edinburgh"," Duis accumsan augue lacus, ac finibus justo commodo eu"
